@RELATION PENCODE


@ATTRIBUTE 32BITSTRING NUMERIC

@ATTRIBUTE IMAGENO STRING

@ATTRIBUTE ISRED NUMERIC

@ATTRIBUTE FREQUENCY NUMERIC


@DATA 
2107764486, 3_81, 0, 1
457674310, 3_83, 0, 2
1140294146, 3_87, 0, 4
2088299313, 3_88, 0, 6
3457845622, 3_90, 0, 1
3849914677, 3_91, 0, 2
17154551, 3_94, 0, 2
3841999524, 3_96, 0, 2
136137652, 3_100, 0, 1
637668483, 3_101, 0, 1
3535840593, 3_102, 0, 7
3861452199, 3_105, 0, 1
2223246720, 3_109, 0, 1
1643420176, 3_110, 0, 1
4127222322, 3_112, 1, 1
3349909157, 3_113, 0, 1
2639706755, 3_115, 0, 3
2295069060, 3_117, 0, 3
3461586228, 3_119, 0, 3
1482568305, 3_121, 0, 3
3553729568, 3_126, 0, 1
29872240, 3_128, 1, 1
2388447697, 3_131, 0, 11
3006407233, 3_132, 0, 1
1116274372, 3_140, 0, 2
3444269137, 3_142, 0, 2
582322353, 3_144, 0, 1
3320642115, 4_4, 0, 2
519734928, 4_5, 0, 4
3461586228, 4_8, 1, 1
1785392864, 4_9, 0, 2
789787267, 4_11, 0, 6
3583371906, 4_14, 0, 1
872322352, 4_18, 0, 1
1524488193, 4_24, 0, 1
1505248021, 4_25, 0, 1
2156199110, 4_27, 0, 2
1565588225, 4_31, 0, 1
359674416, 4_33, 0, 1
3202500705, 4_35, 0, 1
2531739270, 4_36, 1, 1
2306941409, 4_39, 0, 1
2493175030, 4_45, 0, 2
1670719024, 4_48, 0, 1
2082162070, 4_51, 0, 1
2933154023, 4_54, 0, 5
2878086641, 4_58, 0, 2
2859362435, 4_61, 0, 1
120432964, 4_65, 0, 1
463545270, 4_68, 0, 1
2656028080, 4_69, 0, 1
305085607, 4_71, 0, 3
2210289878, 4_72, 0, 17
3053020852, 4_73, 0, 1
1573922308, 4_81, 0, 3
4113565255, 4_84, 0, 2
2239652614, 4_85, 0, 1
4251233491, 4_87, 0, 1
805516049, 4_90, 0, 2
1990354949, 4_91, 0, 1
423727297, 4_92, 1, 1
2746820561, 4_93, 0, 1
248901910, 4_94, 0, 10
3657442038, 4_95, 0, 6
4071274403, 4_96, 0, 1
3450809380, 4_97, 0, 1
4225864480, 4_98, 0, 1
2508022197, 4_100, 0, 1
1671890741, 4_103, 0, 1
1347287844, 4_106, 0, 1
3797491607, 4_108, 0, 1
556971763, 4_109, 1, 1
3722754353, 4_115, 0, 1
1053710932, 4_116, 1, 2
1315874177, 4_118, 0, 2
2454888452, 4_119, 0, 1
3274129345, 4_121, 0, 1
4254656165, 4_122, 0, 1
2143533265, 4_123, 0, 2
3613877798, 4_127, 0, 1
1547375872, 4_128, 0, 2
3459960080, 4_130, 0, 1
3514070803, 4_131, 0, 2
712496199, 4_142, 0, 1
3018051909, 5_4, 0, 1
3823046465, 5_6, 0, 2
134690597, 5_7, 0, 1
2511207942, 5_8, 0, 1
3328663090, 5_14, 0, 1
2094235986, 5_15, 1, 1
1187701557, 5_23, 0, 1
1609424690, 5_25, 0, 1
1294409156, 5_33, 0, 1
2678822263, 5_36, 0, 4
1063686502, 5_38, 0, 1
3301937874, 5_44, 0, 1
2082363057, 5_47, 0, 1
4232489139, 5_51, 0, 1
1711363427, 5_54, 0, 1
1247064341, 5_56, 0, 1
2004161713, 5_58, 0, 1
1196003744, 5_63, 0, 1
870664375, 5_64, 0, 1
76570209, 5_65, 0, 3
2373550103, 5_67, 0, 1
1438449104, 5_68, 0, 1
838026580, 5_70, 0, 2
3274774706, 5_72, 0, 4
1679758788, 5_75, 0, 2
3257862496, 5_76, 0, 3
3849914677, 5_78, 1, 1
3098274753, 5_81, 0, 2
3023114599, 5_85, 0, 2
1747939009, 5_87, 0, 1
981734419, 5_90, 0, 1
1599829618, 5_101, 0, 1
3969698661, 5_104, 0, 1
2468473207, 5_107, 0, 1
2607294886, 5_109, 0, 2
3806261446, 5_110, 1, 1
2690836837, 5_111, 1, 4
3768025425, 5_114, 0, 1
958934016, 5_115, 0, 1
3591786292, 5_117, 0, 1
3041259557, 5_119, 0, 1
2776919186, 5_122, 0, 3
2658523699, 5_125, 0, 5
3345116807, 5_126, 0, 1
914346999, 5_128, 0, 2
1445007283, 5_129, 0, 2
1661809959, 5_131, 1, 1
