@RELATION PENCODE


@ATTRIBUTE 32BITSTRING STRING

@ATTRIBUTE IMAGENO STRING

@ATTRIBUTE ISRED NUMERIC

@ATTRIBUTE FREQUENCY NUMERIC


@DATA 
10100110000100100001111100000111, 2_101, 0, 5
10010000000101010111110110000101, 2_102, 0, 2
01000100011010101001110110100100, 2_103, 0, 2
11001001101110110111111111000111, 2_106, 0, 14
10000111011100000101111100100001, 2_109, 0, 1
00110101100101011111101000110100, 2_110, 0, 1
00111010010101010011011001000011, 2_113, 0, 1
10101011001111100111100000100010, 2_118, 0, 1
00111000100000100000111000000000, 2_119, 0, 5
11100011011110100001001001110111, 2_120, 0, 1
00100111101000110110111000010011, 2_121, 0, 1
10011000101111000110110010000000, 2_123, 0, 1
10100001110110011000100001000001, 2_124, 0, 1
11011101010110000000011000000001, 2_125, 0, 8
00101010010111011100111101010100, 2_126, 0, 4
01110111010101000010010101010001, 2_129, 0, 3
00100111001000000000000101010110, 2_131, 0, 5
11111101110110101000011110000010, 2_133, 0, 1
11100101111110100010110110010010, 2_135, 0, 4
00101000111100011110010110110010, 2_138, 0, 2
11110100000101011011001100000000, 2_139, 0, 3
10110000100110100111111010110100, 2_141, 0, 6
11001110110111110010110011100110, 2_143, 0, 1
11101100011100110001100000110101, 2_144, 0, 1
01110010100001101110100101010111, 3_2, 0, 2
11101010111011000011010010100101, 3_4, 0, 3
00011100101100000011100000110011, 3_9, 0, 1
11110110110101101101001011110101, 3_13, 0, 1
11011000101111001011010100010011, 3_14, 0, 2
01001011000010001100100100000011, 3_17, 0, 5
01000101010100011100110001100110, 3_18, 0, 1
00100010111111101110111010100010, 3_19, 0, 3
00000111011101001110101110100011, 3_20, 0, 1
01100100111110101011001100000101, 3_22, 0, 2
10010110000100110101000010000001, 3_24, 1, 2
11100101100101111010010001100110, 3_27, 0, 1
11001100010101101101110001010101, 3_29, 0, 1
00011110010001111001110101100000, 3_31, 0, 8
10010111000000010000000000100000, 3_32, 0, 4
10000111001100110101001011110011, 3_34, 0, 2
11110111011010011010111011100001, 3_35, 0, 3
01001101000110011100100101010110, 3_37, 0, 2
11000101000010101000011111000101, 3_38, 1, 2
11110011110100001110010101100001, 3_39, 0, 5
11111011100110100110011011110100, 3_40, 0, 2
11000010001011101101011100000011, 3_43, 0, 1
00100100101011010110110101110010, 3_46, 0, 4
01110010101110110111011110000111, 3_49, 0, 7
00010000000111101001111010000000, 3_50, 0, 4
11101011000110110111111000000011, 3_53, 0, 1
11010000101111110000110101010000, 3_55, 0, 1
01100101101110111010001100100110, 3_57, 0, 1
00000100001000110100101000010111, 3_59, 0, 1
10100000110110101000001110100110, 3_61, 0, 1
11011011111000110000000011010111, 3_64, 0, 1
10000101100010100110100101100011, 3_65, 0, 1
11011110101011110010100110100100, 3_69, 0, 1
00111100110110011111111001000100, 3_75, 0, 2
11000101000010101000011111000101, 3_76, 0, 9
10011100111011010010001010010100, 3_77, 0, 13
11100110011000001001000111100010, 3_79, 0, 1
01111101101000011110111100000110, 3_81, 0, 1
00011011010001111000111001000110, 3_83, 0, 2
01000011111101111000001000000010, 3_87, 0, 4
01111100011110001110101100110001, 3_88, 0, 6
11001110000110101000100101110110, 3_90, 0, 1
11100101011110010000100100110101, 3_91, 0, 2
00000001000001011100000111110111, 3_94, 0, 2
11100101000000000100001010100100, 3_96, 0, 2
00001000000111010100101110110100, 3_100, 0, 1
00100110000000100000110010000011, 3_101, 0, 1
11010010110000001010010101010001, 3_102, 0, 7
11100110001010010001010110100111, 3_105, 0, 1
10000100100001000000110110000000, 3_109, 0, 1
01100001111101001001101000010000, 3_110, 0, 1
11110110000000000110101000110010, 3_112, 1, 1
11000111101010111000111010100101, 3_113, 0, 1
10011101010101101011101010000011, 3_115, 0, 3
10001000110010111111100110000100, 3_117, 0, 3
11001110010100111001110100110100, 3_119, 0, 3
01011000010111100011001001110001, 3_121, 0, 3
11010011110100011001110000100000, 3_126, 0, 1
00000001110001111101000001110000, 3_128, 1, 1
10001110010111001101000111010001, 3_131, 0, 11
10110011001100100010001001000001, 3_132, 0, 1
01000010100010001111111011000100, 3_140, 0, 2
11001101010010110110000001010001, 3_142, 0, 2
00100010101101011000100010110001, 3_144, 0, 1
11000101111011001111101001000011, 4_4, 0, 2
00011110111110101000011010010000, 4_5, 0, 4
11001110010100111001110100110100, 4_8, 1, 1
01101010011010101110111011100000, 4_9, 0, 2
00101111000100110011001010000011, 4_11, 0, 6
11010101100101011110101010000010, 4_14, 0, 1
00110011111111101001010100110000, 4_18, 0, 1
01011010110111011101100000000001, 4_24, 0, 1
01011001101110000100001100010101, 4_25, 0, 1
10000000100001001111110011000110, 4_27, 0, 2
01011101010100001111101100000001, 4_31, 0, 1
00010101011100000011001000110000, 4_33, 0, 1
10111110111000100100100001100001, 4_35, 0, 1
10010110111001110100011010000110, 4_36, 1, 1
10001001100000010010000111100001, 4_39, 0, 1
10010100100110101101010011110110, 4_45, 0, 2
01100011100101010010011000110000, 4_48, 0, 1
01111100000110110100010110010110, 4_51, 0, 1
10101110110101000110000011100111, 4_54, 0, 5
10101011100011000001110111110001, 4_58, 0, 2
10101010011011100110100010000011, 4_61, 0, 1
00000111001011011010100101000100, 4_65, 0, 1
00011011101000010010001110110110, 4_68, 0, 1
10011110010011111100010110110000, 4_69, 0, 1
00010010001011110011110010100111, 4_71, 0, 3
10000011101111100101100011010110, 4_72, 0, 17
10110101111110010110011010110100, 4_73, 0, 1
01011101110100000010011000000100, 4_81, 0, 3
11110101001100000000011001000111, 4_84, 0, 2
10000101011111100110001100000110, 4_85, 0, 1
11111101011001001010110011010011, 4_87, 0, 1
00110000000000110011001100010001, 4_90, 0, 2
01110110101000100110100000000101, 4_91, 0, 1
00011001010000011001000011000001, 4_92, 1, 1
10100011101110010010011111010001, 4_93, 0, 1
00001110110101011111000100010110, 4_94, 0, 10
11011010000000000010001011110110, 4_95, 0, 6
11110010101010101011011110100011, 4_96, 0, 1
11001101101011110010110000100100, 4_97, 0, 1
11111011111000011001001100100000, 4_98, 0, 1
10010101011111010110000110110101, 4_100, 0, 1
01100011101001110000011100110101, 4_103, 0, 1
01010000010011011111101100100100, 4_106, 0, 1
11100010010110010001111110010111, 4_108, 0, 1
00100001001100101011011011110011, 4_109, 1, 1
11011101111001001011100100110001, 4_115, 0, 1
00111110110011100101101001010100, 4_116, 1, 2
01001110011011101010010110000001, 4_118, 0, 2
10010010010100101010000000000100, 4_119, 0, 1
11000011001001110011111111000001, 4_121, 0, 1
11111101100110001110011010100101, 4_122, 0, 1
01111111110000111011100011010001, 4_123, 0, 2
11010111011001110110011000100110, 4_127, 0, 1
01011100001110110001010100000000, 4_128, 0, 2
11001110001110101100110100010000, 4_130, 0, 1
11010001011101000111011100010011, 4_131, 0, 2
00101010011101111101010001000111, 4_142, 0, 1
10110011111000111101000101000101, 5_4, 0, 1
11100011110111110000111101000001, 5_6, 0, 2
00001000000001110011011100100101, 5_7, 0, 1
10010101101011011111111000000110, 5_8, 0, 1
11000110011001110101111000110010, 5_14, 0, 1
01111100110100111000000101010010, 5_15, 1, 1
01000110110010101110001100110101, 5_23, 0, 1
01011111111011011101111100110010, 5_25, 0, 1
01001101001001110001110111000100, 5_33, 0, 1
10011111101010111001010101110111, 5_36, 0, 4
00111111011001101001000101100110, 5_38, 0, 1
11000100110011111001001011010010, 5_44, 0, 1
01111100000111100101011010110001, 5_47, 0, 1
11111100010001101010100010110011, 5_51, 0, 1
01100110000000010101010101100011, 5_54, 0, 1
01001010010101001011000100010101, 5_56, 0, 1
01110111011101010001010010110001, 5_58, 0, 1
01000111010010011001000110100000, 5_63, 0, 1
00110011111001010100100010110111, 5_64, 0, 1
00000100100100000101111001100001, 5_65, 0, 3
10001101011110011000000000010111, 5_67, 0, 1
01010101101111001111110111010000, 5_68, 0, 1
00110001111100110100010101010100, 5_70, 0, 2
11000011001100010001100010110010, 5_72, 0, 4
01100100000111110001010111000100, 5_75, 0, 2
11000010001011110000100101100000, 5_76, 0, 3
11100101011110010000100100110101, 5_78, 1, 1
10111000101010111110101111000001, 5_81, 0, 2
10110100001100010001000101100111, 5_85, 0, 2
01101000001011110110111011000001, 5_87, 0, 1
00111010100001000001010000010011, 5_90, 0, 1
01011111010110110111011001110010, 5_101, 0, 1
11101100100111001100101101100101, 5_104, 0, 1
10010011001000011110100101110111, 5_107, 0, 1
10011011011010000010100110100110, 5_109, 0, 2
11100010110111101111000011000110, 5_110, 1, 1
10100000011000101110100101100101, 5_111, 1, 4
11100000100101111000000101010001, 5_114, 0, 1
00111001001010000010110000000000, 5_115, 0, 1
11010110000101100100111100110100, 5_117, 0, 1
10110101010001011111000000100101, 5_119, 0, 1
10100101100001000110110010010010, 5_122, 0, 3
10011110011101011101101000110011, 5_125, 0, 5
11000111011000100110111010000111, 5_126, 0, 1
00110110011111111101001111110111, 5_128, 0, 2
01010110001000010000111110110011, 5_129, 0, 2
01100011000011010011010100100111, 5_131, 1, 1
01100110101001100101101110110011, 5_137, 1, 1
00011110010110111101011001110001, 6_3, 0, 4
10010100000010010000010101000101, 6_4, 0, 6
11100001110001100100100010010100, 6_5, 0, 1
10011111101111000011111011110101, 6_9, 0, 1
01001011110101100111101010000000, 6_10, 0, 1
11000111101010111000111010100101, 6_11, 1, 1
00011011101111011000101000010100, 6_13, 0, 2
01110101010010100001100100010111, 6_17, 0, 1
00000100001110110100101001010111, 6_19, 1, 3
00111010001111001010001000010100, 6_20, 0, 1
01111110100110101011011001000001, 6_22, 0, 2
00110100010001111101100111110110, 6_27, 0, 1
00000110110001100001001001000011, 6_29, 0, 1
10101100000110111100011011010000, 6_34, 0, 1
00011011101111011000101000010100, 6_37, 1, 1
11001011101110100001111011000111, 6_38, 0, 1
01111001100010100000111100110000, 6_42, 0, 2
01010100111001000110010010000100, 6_45, 0, 1
11101001111010011100001110010101, 6_46, 0, 2
11011010101101100000110001000110, 6_51, 0, 1
10101110111000011101101000110100, 6_57, 0, 2
01110000100011001110110111000011, 6_58, 0, 8
10110010100001000000110111000101, 6_60, 0, 1
11011100111010001011110110110100, 6_63, 0, 1
11011000000111001111010011100000, 6_64, 0, 1
00010001110110000010000001110100, 6_66, 1, 1
10011010001000011010100100000000, 6_70, 0, 2
01001110000011011100110111100100, 6_73, 0, 12
11000001000001010010011001000111, 6_76, 1, 1
00111111011110000101010101000101, 6_78, 0, 2
00111001011110001111001001000100, 6_79, 0, 1
11111000011011000010100110100001, 6_84, 1, 6
10011000110100001011000010110000, 6_85, 0, 2
00010001110110000010000001110100, 6_86, 0, 1
01010100011011000011000111010000, 6_94, 0, 4
10100001001111000010101011000000, 6_97, 0, 1
10010010010101010110111101100011, 6_98, 0, 1
01110100111100111101010111000001, 6_100, 0, 1
00011001010000011001000011000001, 6_103, 0, 3
11111010000000101011000110010110, 6_104, 0, 1
01000111110001100011111110110001, 6_109, 1, 1
01001110000011011100110111100100, 6_114, 1, 2
01011000011110010101101011000100, 6_115, 0, 1
11100010000111001111001110010111, 6_118, 0, 1
10011000010111011100111000000110, 6_119, 0, 4
10010010001011100000001110100001, 6_124, 0, 1
10110110100111010001100001100111, 6_127, 0, 1
10101010110100000010110111100100, 6_128, 0, 1
00101101110000110100000111010101, 6_129, 0, 1
10011110011110010010010010110010, 6_131, 0, 1
10001101011000010111001001100010, 6_136, 0, 2
01011011110110110000111001010000, 6_142, 0, 1
11110000010110001110011011100101, 6_144, 0, 1
11111011000100110101010100110111, 7_4, 0, 1
00100010001101110110011111010011, 7_5, 0, 2
