@RELATION PENCODE


@ATTRIBUTE 32BITSTRING STRING

@ATTRIBUTE IMAGENO STRING

@ATTRIBUTE ISRED NUMERIC

@ATTRIBUTE FREQUENCY NUMERIC


@DATA 
11100100111110111111110101110110, 1_135, 0, 1
00110111111101111010110010100001, 1_136, 0, 1
10100010111011110011000111110011, 1_137, 0, 1
01111100110100111000000101010010, 1_138, 0, 1
01011010110110011101100011000011, 1_139, 0, 1
01111100100011011111011010000111, 1_140, 0, 1
01100011001011001010111110010010, 1_141, 0, 1
01010110000001001011001110110101, 1_142, 0, 1
11101111110100111110000100100111, 1_143, 0, 1
00000110101001001001011000000110, 1_144, 0, 1
01111100111011010110011010110001, 2_1, 0, 1
00101110110100001101100100000011, 2_2, 1, 1
01000011011000100111010110100010, 2_3, 0, 1
00010111100110101000101100110100, 2_4, 0, 1
01111100111011010110011010110001, 2_5, 0, 1
11100110101010011101110100110100, 2_6, 1, 1
00000110101001001001011000000110, 2_7, 0, 1
11000001000101001001100110010101, 2_8, 0, 1
00101101110110111011010000010111, 2_9, 0, 1
11001010110100101101000010000101, 2_10, 0, 1
11000001011111100000000100110001, 2_11, 0, 1
10010110111001110100011010000110, 2_12, 0, 1
11110110000000000110101000110010, 2_13, 0, 1
11100001100001100111111111100100, 2_14, 0, 1
01100110001111010001010010100101, 2_15, 0, 1
11001010110100101101000010000101, 2_16, 0, 1
10101111011100111100000111110010, 2_17, 0, 1
01111100100011011111011010000111, 2_18, 0, 1
00000111111111110000110111100110, 2_19, 0, 1
10000101011111011110000101100111, 2_20, 0, 1
01001110111010001011101010010011, 2_21, 0, 1
01000100101111001011010100110101, 2_22, 0, 1
00010111000000011111100001000000, 2_23, 0, 1
01010100100000111001111110100110, 2_24, 0, 1
00100111000100110000110011010111, 2_25, 0, 1
10000010100100100011100111000001, 2_26, 0, 1
01111100100011011111011010000111, 2_27, 0, 1
00000111111111110000110111100110, 2_28, 0, 1
10000101011111011110000101100111, 2_29, 0, 1
11010100101000011001011100110010, 2_30, 0, 1
11101001010110011000110101100011, 2_31, 0, 1
10101111011100111100000111110010, 2_32, 0, 1
01111011100001011010110111110111, 2_33, 0, 1
00110100011010011011001100010110, 2_34, 0, 1
01111100111011010110011010110001, 2_35, 0, 1
01111100111011010110011010110001, 2_36, 0, 1
00101110110100001101100100000011, 2_37, 1, 1
11110100001101010111101100000001, 2_38, 0, 1
11111100101101100110111101100100, 2_39, 0, 1
00101110110100001101100100000011, 2_40, 1, 1
00101101110110111011010000010111, 2_41, 0, 1
01111100001000101111101111010110, 2_42, 0, 1
10111000100111111001111110010000, 2_43, 0, 1
00100010011001010000101110100101, 2_44, 0, 1
10110110010101110101011010000110, 2_45, 0, 1
01111100100011011111011010000111, 2_46, 0, 1
01011001100111001000110101000000, 2_47, 0, 1
11110110000101010001010000110101, 2_48, 0, 1
01111100100011011111011010000111, 2_49, 0, 1
01001111110100010100010011010000, 2_50, 0, 1
00000110101001001001011000000110, 2_51, 0, 1
01111100111011010110011010110001, 2_52, 0, 1
11111000011011000010100110100001, 2_53, 0, 1
11011010100101001000000011000001, 2_54, 0, 1
01001000110010100101010101010001, 2_55, 0, 1
11110000000100001111110111100011, 2_56, 0, 1
01111100111011010110011010110001, 2_57, 0, 1
00100011001010010101100011110000, 2_58, 1, 1
01111100111011010110011010110001, 2_59, 0, 1
10101110110101000110000011100111, 2_60, 1, 1
11100001100001100111111111100100, 2_61, 0, 1
01111100001000101111101111010110, 2_62, 0, 1
01010100000100110100000101110000, 2_63, 0, 1
11011000101111001001010000010101, 2_64, 0, 1
11111001010001010000011101010000, 2_65, 0, 1
01100000011010101111100001100111, 2_66, 0, 1
00011101010011000010110000000110, 2_67, 0, 1
10100010111011110011000111110011, 2_68, 1, 1
00111111110011010110011011110100, 2_69, 0, 1
00011100110010111110010100010101, 2_70, 0, 1
10000010100100100011100111000001, 2_71, 0, 1
01100011000011010011010100100111, 2_72, 0, 1
10100110000011111001001011100111, 2_73, 0, 1
00101110110100001101100100000011, 2_74, 1, 1
00100100101111110000000010010001, 2_75, 0, 1
11111100101101100110111101100100, 2_76, 0, 1
01100000011010101111100001100111, 2_77, 0, 1
01000101100110011000100011010011, 2_78, 0, 1
11100001100001100111111111100100, 2_79, 0, 1
01111100001000101111101111010110, 2_80, 0, 1
00011110011111011000010111110110, 2_81, 1, 1
10100111000001011100101110110011, 2_82, 1, 1
00000110101001001001011000000110, 2_83, 0, 1
01111100100011011111011010000111, 2_84, 0, 1
11010110101001011101110001110011, 2_85, 0, 1
01100101110111100001000010100110, 2_86, 0, 1
10101100101000001000000101010010, 2_87, 0, 1
11111010111011101011001101010000, 2_88, 0, 1
00111111110011010110011011110100, 2_89, 0, 1
11111111111001001101000010100101, 2_90, 0, 1
